515275	identity	quit	14	14	11	11	In 1950 , after learning the truth , Terrill vowed to quit his Ray identity .
703230	career	quit	22	22	19	19	In 2007 , Carlsson was caught for drink driving , had his driving license removed , and decided to quit his rally career .
825903	job	quit	12	12	10	10	In 1998 , she was employed by the CIA and quit the job after five years .
865800	career	quit	22	22	19	19	In 1995 Shaw had serious throat problems and it looked for a while as if Shaw would have to quit his singing career .
1515474	announcement	quit	10	10	16	16	In April 2012 the band ' s label placed an announcement that Marlow had decided to quit as a band .
1837423	serial	quit	5	5	3	3	In 2009 Batley quit the serial in order to pursue other projects .
5009012	production	quit	3	3	1	1	Dau quit the production the same day Suangporn showed up to rehearse her two scenes .
5068425	band	quit	3	3	1	1	Damien quit the band before the release of the EP , leaving the rest of the members searching for his replacement .
5888173	circus	quit	10	10	8	8	At the age of 18 , Strings McPickens quit the circus and returned to his beloved home of Salt Lick , only to find that the local river had been diverted by an agricultural conglomerate to provide for an upstate canal .
6730198	job	quit	6	6	4	4	AfDs - - keepsleeping quit your job !
6875817	service	quit	5	5	2	2	Although Hammer quit his naval service in 1854 , he was granted the character of a Lieutenant Commander on 17 February 1858 .
7577868	show	quit	27	27	25	25	A final blow was dealt when viewer favourite and a pivotal character from the start Reverend Bob Brown was dramatically killed off when Tony Martin quit the show , and it was announced soon after that E Street had been cancelled .
8010041	job	quit	8	8	6	6	After winning the WSOP , he quit his job to serve as a celebrity spokesman for Series owner Harrah ' s Entertainment as well as PokerStars .
8307806	school	quitting	2	2	1	1	After quitting school , K a d a r joined the Communist Party of Hungary ' s youth organisation , KIMSZ .
8307832	business	quitting	4	4	1	1	After quitting the grocery business , he became the assistant secretary of the Harvard Corporation in 1889 and the secretary of the Lawrence Scientific School in 1893 .
8635981	job	quits	3	3	1	1	Alex quits his job at the MOD , and becomes estate factor at Glenbogle , trying to make everything make traditional , like Laird Paul wearing old clothes , Ewan and Jess respecting the Laird .
10000664	job	quits	3	3	1	1	Flo quits her job , wishing she could work someplace else .
10070385	career	quit	7	7	5	5	Johnstone and Jonatan Johansson who quit his career after 2010 season .
10909635	party	quit	15	15	13	13	He stayed on in the Indian National Congress even after his father had quit the party and had allied with its opponents quitting the Indian National Congress and joining the Swatantra Party only in the 1960s .
12055737	job	quit	7	7	5	5	By December 1979 McDaniel had quit his job working for a pool table company in order to commit himself to Black Flag and SST Records , and had taken the pseudonym Chuck Dukowski .
12392304	position	quit	35	35	33	33	Brogan became the fifth president of Florida Atlantic University in 2003 and was reappointed by the FAU Board of Trustees to a second six-year term , which began in 2009 , although Brogan quit this position the same year to become Chancellor of the State University System of Florida .
12964014	job	quit	5	5	3	3	I had to quit my job because of Wikipedia .
13365990	job	quit	5	5	3	3	In 1849 Sangster quit his job at Fort Henry and moved to Amherstburg , Ontario , where he became editor of the Amherstburg Courier .
13642415	job	quit	15	15	13	13	In one interview with John Arch , he said that he would have quit his job if he was asked , but the rest of the band never asked him to .
13756266	habit	quit	33	33	31	31	In summer 1963 , Evans and his girlfriend Elaine left their flat in New York and settled in his parents ' home in Florida , where , it seems , they quit the habit for some time .
13886514	soap	quit	6	6	4	4	In reality , Monero quit the soap .
14166431	job	quits	8	8	5	5	In Season 3 , Harry quits his plumbing job and starts a weather-themed restaurant .
14511480	competition	quit	7	7	5	5	In episode 4 , Allana quit the competition .
15024657	job	quits	11	11	7	7	In `` The Revenge '' , he quits his real estate job solely because he is forbidden to use his boss ' s private bathroom .
15604615	job	quit	9	9	7	7	In the same year he decided to quit his job in order to concentrate on the research of his second book , The Kindly Ones .
15979011	job	quitting	30	30	28	28	Arguably the most famous hoax was `` Girl quits her job on dry erase board , emails entire office '' , which showed several photographs of a woman quitting her job by telling a story with a dry-erase whiteboard .
19220221	screen	quit	26	26	24	24	At a housewarming party for newlyweds Charles Kenyon and Jane Winton in October 1927 , Shannon was there `` looking altogether too pretty to quit the screen , '' but declared herself quite contented .
19367478	support	quit	15	15	13	13	In exchange for the Spanish territorial losses , the French king pledged to quit his support for Portugal and renounced to his claim to the county of Barcelona , which the French crown was claiming ever since the Catalan Revolt -LRB- also known as Reapers ' War -RRB- .
