2854	m	love	10	10	5	5	I ' m gon na love you like I ' m indestructible .
12366	kind	love	18	18	16	16	I might have more success photographing a dish in the local restaurant ; Costa and Annnika love any kind of publicity .
112851	man	loved	33	33	30	30	In 1906 Mackenzie King published a book The Secret of Heroism about his friend whom he recalled in his diary entries as `` the man I loved as I have loved no other man , my father and brother alone excepted '' In 1909 King ' s first speech before the House of Commons was preceded by the statement that he marked the eighth anniversary of Harper ' s sacrifice by placing ten white roses on the base of the statue .
125516	music	LOVE	25	25	21	21	I ' m not sure where to go with this , but I know for a fact that tons of you LOVE Selena ' s music -LRB- I do not know who she is , I must say -RRB- .
126970	person	loved	7	7	6	6	I ' m not the most loved person on Wikipedia , so if I step out of line just one iota I ' m gon na get blocked .
150891	football	loved	16	16	14	14	In 1925 , professional football was viewed negatively by Americans , as most Americans loved college football which they saw as a pure sport .
174792	home	loves	8	8	5	5	In 1914 , Sara Crewe loves her childhood home in India , but she has to leave it when her beloved father , Captain Crewe enlists to fight for the British in World War I .
184442	adaptation	Loves	16	16	13	13	In 1927 , she was re-teamed with John Barrymore in When a Man Loves , an adaptation of Manon Lescaut .
209494	hero	love	42	42	40	40	In 1928 , Fritz Lang made the film Spies which contained many tropes that became popular in later spy dramas , including secret headquarters , an agent known by a number , and the beautiful foreign agent who comes to love the hero .
238102	football	loved	26	26	25	25	In 1946 , a group of youngsters with the leadership of Ebrahim Nematollahi who worked in the Cheragh Bargh -LRB- lightbulb -RRB- factory , and loved football , decided to create a football club .
257161	interest	love	11	11	10	10	In 1948 , she appeared as John Wayne ' s love interest in the opening sequences of Red River , but , overshadowed by the men in Howard Hawks ' s western , her career suffered and Fox ended her contract in 1950 .
267162	country	love	25	25	23	23	In 1946 , when Darrow was 13 , his family returned to Puerto Rico , where he discovered his roots and grew to love a country he had not known .
286902	life	loved	17	17	20	20	In 1972 he retired to his farm in the Berkshire Hills of Massachusetts to enjoy the farm life which he loved and to practice his Quaker faith .
341375	poem	loved	22	22	25	25	In 1956 , he set `` Les yeux d'Elsa '' -LRB- `` Elsa ' s eyes '' -RRB- , a Louis Aragon poem which Ferrat loved , to music .
383751	Lord	love	10	10	8	8	In 1966 they recorded the album `` I love The Lord '' for the Gospel label , part of Savoy Records , and a 45 for the Music City label called `` He ' s Alright '' .
386357	Man	Loved	14	14	12	12	In 1967 Franklin issued her first Atlantic single , `` I Never Loved a Man -LRB- The Way I Love You -RRB- '' , a blues ballad that introduced listeners to her gospel style .
400883	Presentation	Loves	13	13	12	12	In 1968 , the Arts Council made a short documentary film , Loves Presentation on the creation of the prints , directed by James Scott .
424016	music	love	22	22	21	21	In 1966 , Sfinx were aired for the first time on radio , with I mi place muzica -LRB- `` I love music '' -RRB- and their eponymous song , Sfinx .
437341	announcer	loved	18	18	16	16	In 1969 Enrique was asked to make a cameo appearance by Jimmy Lennon , a much loved sports announcer at the Olympic Auditorium in Los Angeles for a celebration of twenty-five years of televised wrestling .
445488	queen	loving	34	34	31	31	In 1970 , Ace surprised and delighted old Easy Aces fans when he published a book with eight complete Easy Aces scripts and essays about living with , working with and loving the malaprop queen , plus a seven-inch flexidisc that extracted from the original radio performance of one of those scripts , `` Jane Sees a Psychiatrist .
471387	Papa	Loves	32	32	31	31	In 1932 , her health began to fail but she appeared in The Wiser Sex , Those We Love , the film on the Russian Revolution , Scarlet Dawn , Mama Loves Papa with Charlie Ruggles -LRB- 1933 -RRB- , and the musical Too Much Harmony -LRB- 1933 -RRB- .
524385	nation	love	40	40	38	38	In 1959 , at the Mariapolis -LRB- summer gathering of the Movement -RRB- in the Dolomite Mountains , Lubich addressed a group of politicians inviting them to go beyond the boundaries of their respective nations and to `` love the nation of the other as you love your own '' .
528233	nigger	love	20	20	18	18	In 1959 , Rainach delivered a racially inflammatory speech before the legislature in which he professed to `` love the nigger , but I know he ca not run this country .
530931	everyone	loved	41	41	40	40	In 1959 , with eyes the same size , I got to see some of America traveling in the old green Plymouth with my parents , who could not stand each other , and my brother and sister , who loved everyone .
553745	job	loved	20	20	23	23	In 1954 Chippendale moved to Alice Springs with his wife and 3 children as the first resident taxonomist , a job which he loved .
577094	interest	love	19	19	18	18	In 1976 , he was cast in the television mini-series Roots , then as Sally Field ' s love interest in the television film Sybil .
580320	cricket	loved	30	30	29	29	In 1976 , someone suggested to Tony Mitchell and keyboardist Garth Porter that Howzat might make a good title for a song because some of the members of Sherbet loved cricket .
601398	affair	love	9	9	8	8	In 1963 , Hilary discovered Amis ' s love affair with novelist Elizabeth Jane Howard .
642851	Way	Loved	14	14	10	10	In 1977 , Singana ' s song `` I Never Loved a Man the Way I Loved You '' became a hit .
648813	father	love	18	18	16	16	In 1978 , he followed with Tribute , the story of a man who learns to love his father , a successful actor who always had more time for his theatrical cohorts than his son .
657037	Work	Loves	13	13	11	11	In 1979 and 1981 , Taylor respectively released Flag and Dad Loves His Work , which both certified platinum in the United States and produced Top 40 singles .
676653	campaign	Loves	10	10	6	6	In 2003 , the `` Lonsdale Loves All Colours '' campaign was launched , emphasizing non-white fashion models , along with increased support for initiatives that combat racism .
695928	taste	loved	36	36	34	34	In 2006 Wonder was one of the first bread brands to introduce whole grain white breads such as `` Wonder Made with Whole Grain White '' as a bread that appealed to consumers who loved the taste of white bread , but who were looking for more nutrition On August 28 , 2007 , Interstate Bakeries announced that would soon end production of Wonder Bread in the Southern California market , leading to a loss of 1 , 300 jobs .
701178	life	love	11	11	10	10	In 2007 , attention was brought to Manson ' s love life again when a relationship with Wood was made public .
701400	story	love	14	14	13	13	In 2007 a viral video for an Australian clothing company entitled ' Streakers love story ' featured two streakers who fell in love on opposite sides of the world and met for the first time by streaking into each other ' s arms at a soccer match .
705677	series	love	28	28	14	14	In 2005 Theron portrayed Rita , Michael Bluth ' s -LRB- Jason Bateman -RRB- love interest , on the third season of Fox ' s critically acclaimed television series Arrested Development .
