2317859	beginning	delayed	27	27	25	25	Anderson retired from managing on October 2 , 1995 , reportedly disillusioned with the state of the league following the 1994 strike that had also delayed the beginning of the 1995 season .
2576088	arrival	delayed	5	5	3	3	An emergency appendectomy delayed his arrival in Hong Kong ; he left China three days after the crash and flew to Rangoon to meet with Indian Prime Minister Jawaharlal Nehru and Burmese Prime Minister U Nu before continuing on to Bandung to attend the conference .
2823072	mission	delay	6	6	4	4	Annan initially refused to delay the mission .
2956390	departure	delayed	18	18	16	16	A bomb threat on the liner Excalibur was also spread by the Germans , which further delayed its departure while Portuguese officials searched the ship .
3370710	revelation	delaying	3	3	1	1	After delaying this revelation when Elizabeth ' s middle child Jake is killed in a hit-and run accident , she finally reveals the truth to Lucky and Nikolas .
4139495	selection	delayed	16	16	14	14	Accordingly , the scribes and Pharisees Vespasian ' s siege and capture of Jerusalem delayed the selection of Simeon of Jerusalem to succeed James .
4690040	initiation	Delaying	2	2	0	0	Delaying the initiation of dopatherapy , using instead alternatives for some time , is also common practice .
6255176	debut	delaying	22	22	18	18	Bala broke his leg in a motorcycle accident and spent a month in the hospital to recover , delaying his planned CMLL debut .
6874962	spearhead	delayed	37	37	30	30	Although greatly outnumbered , through numerous feats of valor and an aggressive and deceptive defense of their position , the platoon inflicted heavy casualties on the enemy forces and successfully delayed for nearly 24 hours a major spearhead of the attacking German forces .
6965592	fall	delayed	20	20	18	18	Although kamikaze attacks could not stop the Allied advance in the Pacific , they inflicted more casualties and delayed the fall of Japan for longer than might have been the case using only the conventional methods available to the Japanese Empire .
7145075	advance	delay	32	32	29	29	Almost all the bridges over the Weser and Mittelland Canal as well as the aqueduct over the Weser were blown up by the Wehrmacht in a futile attempt to delay the Allied advance .
8572240	launch	delayed	11	11	6	6	After this failure , Arianespace SA delayed the expected January 2003 launch for the Rosetta mission to 26 February 2004 , but this was again delayed to early March 2004 due to a minor fault in the foam that protects the cryogenic tanks on the Ariane 5 .
11777449	wedding	delay	6	6	4	4	But Hilde decides to delay the wedding for a year while she prepares Kudrun to be a queen .
12146122	decision	delayed	36	36	34	34	Because of this and accusations that the entire approval process for the project was suspect , funding for the full construction cost has not yet been secured , as the African Development Bank has delayed a decision about a loan pending a review of the dam ' s environmental impact by its compliance review and mediation unit which in August 2009 accepted a call from NGOs for such a review .
13368622	construction	delayed	21	21	19	19	In 1870 , their design was changed to that of an unprotected cruiser or wooden corvette ; political events delayed their construction , but they finally were launched in this form in the years between 1879 and 1881 and completed in 1880 and 1882 .
