76894	presidency	up	gave	6	6	4	4	3	3	In 1893 he gave up the presidency of the Grand Trunk Railway Company .
372457	journalism	up	gave	6	6	5	5	4	4	In 1939 , he gave up journalism and served for the Chinese Ministry of Information , as an advisor .
418277	position	up	gave	7	7	5	5	4	4	In 1965 , Wilson gave up his position as Head of Serials to concentrate on realising a long-held ambition of bringing The Forsyte Saga to the screen .
961186	spot	up	give	24	24	22	22	21	21	In 2004 , Perkins courted controversy when he stated that he felt the public ' s pressure for Craig Stevens to give up his spot in order to reinstate defending 400m champion Ian Thorpe to the event after being disqualified was `` disgusting '' .
2185932	role	up	give	24	24	21	21	20	20	Any current admin that are currently editing a climate change article will either have to stop editing these pages or give up their administrator role .
3543942	mask	up	giving	17	17	14	14	13	13	After a child died in his care , King became depressed and , giving up his jaguar mask , returned to the street and became a raging alcoholic .
3929023	seat	up	give	20	20	17	17	16	16	According to Swedish newspaper Expressen , party chairman Jimmie A kesson urged Petz a ll to give up his Riksdag seat , but he declined .
4487798	mother	up	give	23	23	21	21	20	20	Despite the detectives ' confidence that the judge ' s murder was ordered by Georgia Rae , Junior refuses to give up his mother .
4585283	self-government	up	gave	17	17	15	15	14	14	By their treaty , they were allowed to stay as state residents if they gave up Choctaw self-government .
4941379	part	up	gave	14	14	11	11	10	10	Days before , we argued a little because I easily gave up the leading part of Yehuda Maccabi in the school show and the son of the headmaster got it .
5377444	run	up	giving	14	14	9	9	8	8	Deneau was also pitching well , but after giving up two hits and a run in the ninth he called Heck in to relieve him with two men out and two on base .
5555488	idea	up	give	13	13	11	11	10	10	At this rate , editor should consider changing infobox or give up the idea to transclude route map template into the infobox .
6143116	education	up	given	7	7	4	4	3	3	Bandara Mahatthaya has given up his medical education to take up his family properties when his father dies .
7161825	project	up	give	12	12	10	10	9	9	All this convinced the stakeholders of the project to give up the project especially as the atomic dug canal-idea had to be abandoned because of ecological reasons .
7282814	act	up	give	6	6	4	4	3	3	Also , they give up any act of sexual conduct .
7410684	baseball	up	given	10	10	9	9	8	8	Amanda tries to convince Buttermaker that she has given up baseball , but then she reveals that she had been practicing `` on the sly '' .
7773191	life	up	give	15	15	13	13	12	12	Alone in the tower , the Zhao general urges Ge Li to give up his life but Ge already has a plan underway .
8548781	independence	up	give	29	29	26	26	25	25	After years of climbing the ranks , things begin to fall into place , but then Bianca starts to pull away , both reluctant to give up her economic independence and haunted by a secret past she refuses to reveal .
9188572	territory	up	give	18	18	16	16	15	15	Following the Dano-Swedish War -LRB- 1657-1658 -RRB- and the Treaty of Roskilde Denmark had to give up all territory on the southern Scandinavian peninsula , and Helsingborg became a Swedish city .
10075683	land	up	give	39	39	37	37	36	36	Johnson appears as an antagonist in the 2012 video game Assassin ' s Creed III and is killed by game ' s mohawk protagonist Connor because Johnson was trying to strongarm Connor ' s tribe to give up their land .
11357773	hope	up	give	6	6	5	5	4	4	Her father refused to give up hope that Charlotte would agree to marry the Prince of Orange .
13374835	practice	up	give	7	7	6	6	5	5	In 1873 Francis decided to give up practice as a solicitor and study to be called to the Bar .
13387041	trade	up	gave	15	15	13	13	12	12	In 1854 Churchill removed from Princes Street to New Burlington Street , gave up retail trade , and concentrated on publishing .
13735334	pawn	up	give	10	10	8	8	7	7	In that case White has to either give up the pawn or move the king behind the pawn into stalemate .
14339375	interest	up	give	22	22	20	20	19	19	In the beginning of the 1840s difficult times came to Adelaide , and in 1842 Stevenson was obliged to give up his interest in the paper .
14396518	seat	up	gave	9	9	7	7	6	6	In October 2008 , Qayum Karzai gave up his seat in the parliament and cited health problems as the reason he missed so many parliamentary sessions .
14487400	character	up	gave	8	8	5	5	4	4	In early 2011 he gave up the Brazo character and revealed that he was actually the son of Mr .
14497477	run	up	giving	30	30	28	28	27	27	In Game 7 , three rookie pitchers -LRB- John Lackey , Brendan Donnelly , and Francisco Rodr i guez -RRB- combined to throw eight innings while only giving up one run combined .
15704068	struggle	up	gave	11	11	8	8	7	7	As a result , the New Haven gave up its `` struggle for expansion '' by disposing of its Boston and Maine stock and selling off its recent acquisitions of competitors .
15714784	palace	up	gave	14	14	12	12	11	11	As a sign of gratitude to God for victory , he gave up his palace to build the first cathedral .
18265681	adminship	up	gave	10	10	8	8	7	7	As noted above , one user who gave up his adminship shortly before being blocked for disruption was later resysopped just two hours after requesting it on a bureaucrat ' s talk page , with no community consultation whatsoever .
18989769	position	up	give	11	11	9	9	8	8	As President of Niger , Tandja had to give up his position as President of the MNSD .
19759654	homer	up	gave	23	23	20	20	19	19	In his second game back he would pitch nearly a complete game shutout but in the 9th , Sheets gave up a 2-run homer to Ken Griffey Jr of the Reds .
19759756	run	up	gave	27	27	24	24	23	23	In his second major league start , on September 28 , 1998 , he retired 26 Detroit Tigers in a row before he gave up a home run to Bobby Higginson .
21403691	career	up	gave	31	31	29	29	28	28	Gladys Rockmore Davis -LRB- May 11 , 1901 - February 16 , 1967 -RRB- was an American artist who succeeded in both commercial and fine arts , and gave up a career in advertising art to devote herself to creative painting .
21587212	quest	up	give	7	7	5	5	4	4	Gessler tells Gabriel to give up his quest , for Swiss law will never expose its own citizens .
21639962	principle	up	give	10	10	6	6	5	5	Gerardus Odonis was inclined to give up poverty , the principle of the order , on account of which Michael of Cesena had come into conflict with the pope .
22900425	exploration	up	give	26	26	24	24	23	23	Before the discovery of Troy , Schliemann did not know where to look for the Trojan city , and he was about to give up his exploration for Troy all together .
23985308	hope	up	give	10	10	8	8	7	7	Every one on board was about to give up all hope of surviving this natural disaster .
24815658	independence	up	give	69	69	66	66	65	65	Canadian Confederation became a reality in 1867 , but received much resistance from the merchant classes of Halifax , and from many prominent Halifax politicians due to the fact that both Halifax and Nova Scotia were at the time very wealthy , held trading ties with Boston and New York which would be damaged , and did not see the need for the Colony to give up its comparative independence .
26334473	seat	up	give	36	36	34	34	33	33	Christensen , a two-term representative who promised not to run more than three terms in the House , was seen as a surprise candidate in the gubernatorial election , as he had to give up his seat on the powerful House ways and Means Committee .
26888378	run	up	giving	20	20	18	18	17	17	Burnett got his 17th victory of the season by taking a no-hitter into the 6th inning before giving up a run .
27562877	office	up	gave	11	11	9	9	8	8	However , on April 5 , 1840 he gave up his office to follow General Moraz a n into exile , embarking on the brigantine Izalco from the port of La Libertad , La Libertad along with many other followers of Moraz a n .
27650168	seat	up	gave	9	9	7	7	6	6	However a few months later he gave up his seat when he was appointed a judge .
27667488	life	up	gave	6	6	4	4	3	3	However , he gave up this life in the political sphere to enter into the monastic life .
27731979	treaty	up	give	7	7	5	5	4	4	However Ghent needed to give up its treaty with England and recognise the King of France .
