2089801	confusion	avoid	10	10	9	9	And the article should mention -LRB- book -RRB- to avoid confusion .																		
2581930	etc	avoid	18	18	16	16	An established user incites on-Wikipedia disruption , canvasses , solicits people to revert-war for them to avoid 3RR etc .																		
4315133	scrutiny	avoid	17	17	16	16	Clearly this is someone who has figured out how to game the system in order to avoid scrutiny .																		
4371955	problem	avoid	24	24	22	22	Consider alternating or changing image locations so as to avoid having left aligned images near the tops or bottoms of sections to avoid this problem .																		
5000236	violence	avoiding	5	5	3	3	David Beaton , avoiding open violence through fear of Hamilton ' s high connections , invited him to a conference at St Andrews .																		
6265608	plea	avoided	32	32	15	15	Attorneys ' Manual states that in the federal system , Alford pleas `` should be avoided except in the most unusual circumstances , even if no plea agreement is involved and the plea would cover all pending charges .																		
6434212	problem	Avoiding	2	2	0	0	Avoiding this problem and featuring the optical image amplification for dramatic improvement in sensitivity at high image acquisition rates , STEAM ' s shutter speed is at least 1000 times faster than the state-of-the-art CCD and CMOS cameras .																		
6913803	awkwardness	avoids	32	32	29	29	Although it could make representation more exact for a representative ' s vote in the governing body to be weighted according to the number of his constituents , it avoids complexity and awkwardness if each representative has exactly 1 vote .																		
7287746	predation	avoid	4	4	3	3	Also , to avoid predation , many species are dark to blend in with their environment .																		
7664207	capture	avoid	19	19	18	18	Adolf Hitler -LRB- 1945 -RRB- ; Austrian-born , Nazi Germany dictator , swallowed cyanide and shot himself to avoid capture by the Soviet military .																		
11049801	deletion	avoid	13	13	12	12	He takes this as a determination that she was notable enough to avoid deletion and should be merged , creating a new issue .																		
11798212	confusion	avoid	25	25	24	24	Built by the Great Northern Railway -LRB- Great Britain -RRB- on its Derbyshire Extension in 1875-6 , and later again renamed Basford North to avoid confusion with the Midland Railways ' s earlier built station originally named Basford opened in 1848It closed in 1964 .																		
12059532	overhead	avoiding	7	7	5	5	By designing glasses in-house and avoiding the overhead of physical stores , the company is able to lower the cost of its glasses by a significant amount .																		
12070498	synthesis	avoiding	3	3	1	1	By avoiding second-strand synthesis , scAAV can express more quickly , although as a caveat , scAAV can only encode half of the already limited capacity of AAV .																		
12631696	confusion	avoid	10	10	9	9	I know bronze is aes but I want to avoid confusion with coins .																		
12727947	kind	avoid	26	26	22	22	If you are assuming authority over me because you are a man and I am a woman well then all women should avoid Wikipedia and any kind of work on its articles .																		
13554715	unpleasantness	avoid	10	10	8	8	Image use policy -RSB- -RSB- before uploading to avoid any unpleasantness .																		
13800785	competition	avoid	4	4	3	3	In order to avoid competition , some species of infective juveniles are able to judge the quality of a host before penetration .																		
13897224	anything	avoid	20	20	17	17	In other words , switching to this package should in no way be considered a way to avoid or bypass anything , including sanction .																		
14852578	interaction	avoid	7	7	4	4	I suggest you voluntary avoid any unnecessary interaction with Ohnoitsjamie .																		
15006467	system	avoid	15	15	11	11	In the late 1960s , he became a Swiss resident to avoid the British tax system of the time , which heavily taxed the earnings of the wealthy .																		
15239277	quicksort	avoid	18	18	17	17	Introsort is a variant of quicksort that switches to heapsort when a bad case is detected to avoid quicksort ' s worst-case running time .																		
15263582	exhaustion	avoid	27	27	26	26	In this way the boys can practise singing together and learn under the same roof , which allows for greater efficiency and thus also helps to avoid exhaustion of the students .																		
15885121	line	avoid	23	23	19	19	As an undergarment , it combines the functions of a camisole and panties , and may be preferred to avoid a visible panty line .																		
16228467	possibility	avoid	26	26	24	24	Apuuzo and Goldman report the Bush government returned the men to CIA custody three months before the Supreme Court ' s ruling , to avoid the possibility of having to release any information about them .																		
17188830	shitstorm	avoiding	25	25	23	23	I do not think that article needs SPAs , and trying to work out which ones are sleeper socks and which are editors avoiding the shitstorm Murphy tends ot unleash on anyone whose edits he dislikes is probably going to give us a weakness that will be ruthlessly exploited .																		
17482783	measurement	avoid	22	22	19	19	If they were fed roughage the previous day , they should cast it out before being weighed , to avoid an inaccurate measurement .																		
17536820	match-up	avoiding	25	25	18	18	If it is impossible to avoid a match-up that already occurred , then the determination is based on avoiding the most recent , current tournament match-up , regardless of seed .																		
