17200950	fact	resent	4	4	2	2	I do resent the fact that the article was orginally written with the intent to discredit the professor i .
53875780	mother	resents	3	3	1	1	She resents her mother and regards her as being selfish .
34631350	characterization	resent	3	3	1	1	I resent your characterization as unhealthy .
69946642	humiliation	resented	7	7	5	5	The Remonstrants and the public resented this humiliation , and determined to hold a meeting in the Rotunda , Dublin , where they proposed to defend themselves against this indignity .
66313677	transfer	resented	3	3	1	1	They resented the transfer of land from Kol headmen -LRB- Mundas -RRB- to outsiders .
47568090	attempt	resented	3	3	1	1	Radicals resented his attempt to quell the revolution while some fellow officers thought he showed a lack of resolve .
34631289	implication	resent	3	3	1	1	I resent the implication that my sandbox is an area for vandalism .
30015108	way	resented	3	3	1	1	Frank resented the way his son Ken thought himself superior to them , and there was friction between the pair when Ken returned home from university .
36845185	Latin	resented	12	12	10	10	Her rule proved unpopular , especially with the aristocracy who resented her Latin -LRB- Western -RRB- origins .
27550139	dilution	resented	16	16	14	14	However , the Confederation generated resistance among several groups in both countries , which resented the dilution of national identities , and also among neighbouring countries .
12864355	attitude	resent	13	13	10	10	I have not tried to change policy , and I resent your careless attitude in making such an accusation .
56534041	father	resent	7	7	5	5	Soon , he began to resent his father , who earned money through the sale of stolen goods .
53904000	fact	resented	4	4	2	2	She often resented the fact that the Coppertone girl was her most famous work , saying `` Big deal , it ' s only baby art .
52814454	symbolism	resented	5	5	3	3	Secondly , Southerners resented the symbolism of a `` Yankee '' company coming down from The North and `` taking over '' their wrestling .
59510041	rise	resented	24	24	22	22	The marriage was discovered and brought to the attention of the Vatican by certain of O'Connell ' s clerical enemies who deeply resented his rise to power .
48831543	presence	resent	5	5	3	3	Others seem to resent the presence of media sensationalism of certain deaths over others .
75134096	way	resent	23	23	21	21	Yet the album ' s later singles did not do as well as their early showings , and they began to resent the way they were being produced and promoted .
7884079	corruption	resented	17	17	16	16	After they received no explanation from the hotel despite repeated requests , sympathizers and those who resented corruption gathered around the family to show their support .
53875762	fact	resented	3	3	1	1	She resented the fact that , as the wife of a younger son of the British sovereign , she had to yield precedence to George ' s mother , the Princess of Wales , whose father had been a minor German prince before being called unexpectedly to the throne of Denmark .
24210303	sister	resenting	15	15	13	13	Elena has a minor role in Before Crisis , as a young student resenting her sister for outperforming her ; as such , she refused to become a Turk while her sister was employed .
34767031	domination	resented	27	27	25	25	It would be wrong to exclude Spanish firepower and , most important of all , the alliances Cortes was able to form with those who resented the domination of the Aztecs , which includes important groups like the Tlaxcalans , who at times made up the bulk of his army .
57188257	style	resented	5	5	2	2	Some Senators resented his autocratic style .
22221267	disdain	resented	26	26	23	23	From the subtleties of syntax , as from the bonds of prosody he sallies free ; and the owls of pedantry have bitterly resented his arrogant disdain for them and theirs .
